Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
116mm-cr-tube-black,116mm CR Pop-Top Tube — Black (Wholesale Case),"<p><strong>116mm child-resistant pop-top pre-roll tube in classic black.</strong> Stocked in our LA warehouse, ships same business day on orders placed by 1pm Pacific.</p><ul><li>CR-certified to 16 CFR 1700 / ASTM D3475 (<a href='/pages/cert'>download test report</a>)</li><li>Food-grade BPA-free polypropylene</li><li>116mm × 21mm — fits king-size cones</li><li>Pop-top closure with watertight gasket</li></ul><p><strong>Volume pricing:</strong> 1K case $85 ($0.085/unit), 5K $375 ($0.075), 25K $1,625 ($0.065), 50K $3,000 ($0.060). 100K+ <a href='/pages/quote'>request a quote</a>.</p><p><small><strong>WARNING:</strong> This product can expose you to chemicals including styrene, which is known to the State of California to cause cancer. For more information go to www.P65Warnings.ca.gov.</small></p>",The Pack Guys,Pre-Roll Tube,"wholesale,116mm,black,cr-certified,in-stock-la",TRUE,Quantity,1000,TUBE-116-BLK-1K,3500,shopify,1000,deny,manual,85.00,,TRUE,TRUE,,,116mm CR pop-top pre-roll tube in black,FALSE,116mm CR Pre-Roll Tubes — Black Wholesale Case | The Pack Guys,Buy 116mm child-resistant pre-roll tubes in black. Ships same-day from LA. From $0.085/unit on 1K cases.,,,,,,,new,,,,50.00,active
116mm-cr-tube-black,,,,,,,Quantity,5000,TUBE-116-BLK-5K,17500,shopify,200,deny,manual,375.00,,TRUE,TRUE,,,,,,,,,,,,,new,,,,250.00,active
116mm-cr-tube-black,,,,,,,Quantity,25000,TUBE-116-BLK-25K,87500,shopify,40,deny,manual,1625.00,,TRUE,TRUE,,,,,,,,,,,,,new,,,,1250.00,active
116mm-cr-tube-black,,,,,,,Quantity,50000,TUBE-116-BLK-50K,175000,shopify,20,deny,manual,3000.00,,TRUE,TRUE,,,,,,,,,,,,,new,,,,2500.00,active
116mm-cr-tube-clear,116mm CR Pop-Top Tube — Clear (Wholesale Case),"<p><strong>116mm child-resistant pop-top pre-roll tube in clear.</strong> Stocked in our LA warehouse, ships same business day on orders placed by 1pm Pacific.</p><ul><li>CR-certified to 16 CFR 1700 / ASTM D3475 (<a href='/pages/cert'>download test report</a>)</li><li>Food-grade BPA-free polypropylene</li><li>116mm × 21mm — fits king-size cones</li><li>Pop-top closure with watertight gasket</li></ul><p><strong>Volume pricing:</strong> 1K case $85 ($0.085/unit), 5K $375 ($0.075), 25K $1,625 ($0.065), 50K $3,000 ($0.060). 100K+ <a href='/pages/quote'>request a quote</a>.</p><p><small><strong>WARNING:</strong> This product can expose you to chemicals including styrene, which is known to the State of California to cause cancer. For more information go to www.P65Warnings.ca.gov.</small></p>",The Pack Guys,Pre-Roll Tube,"wholesale,116mm,clear,cr-certified,in-stock-la",TRUE,Quantity,1000,TUBE-116-CLR-1K,3500,shopify,1000,deny,manual,85.00,,TRUE,TRUE,,,116mm CR pop-top pre-roll tube in clear,FALSE,116mm CR Pre-Roll Tubes — Clear Wholesale Case | The Pack Guys,Buy 116mm child-resistant pre-roll tubes in clear. Ships same-day from LA. From $0.085/unit on 1K cases.,,,,,,,new,,,,50.00,active
116mm-cr-tube-clear,,,,,,,Quantity,5000,TUBE-116-CLR-5K,17500,shopify,200,deny,manual,375.00,,TRUE,TRUE,,,,,,,,,,,,,new,,,,250.00,active
116mm-cr-tube-clear,,,,,,,Quantity,25000,TUBE-116-CLR-25K,87500,shopify,40,deny,manual,1625.00,,TRUE,TRUE,,,,,,,,,,,,,new,,,,1250.00,active
116mm-cr-tube-clear,,,,,,,Quantity,50000,TUBE-116-CLR-50K,175000,shopify,20,deny,manual,3000.00,,TRUE,TRUE,,,,,,,,,,,,,new,,,,2500.00,active
116mm-cr-tube-white,116mm CR Pop-Top Tube — White (Wholesale Case),"<p><strong>116mm child-resistant pop-top pre-roll tube in white.</strong> Stocked in our LA warehouse, ships same business day on orders placed by 1pm Pacific.</p><ul><li>CR-certified to 16 CFR 1700 / ASTM D3475 (<a href='/pages/cert'>download test report</a>)</li><li>Food-grade BPA-free polypropylene</li><li>116mm × 21mm — fits king-size cones</li><li>Pop-top closure with watertight gasket</li></ul><p><strong>Volume pricing:</strong> 1K case $85 ($0.085/unit), 5K $375 ($0.075), 25K $1,625 ($0.065), 50K $3,000 ($0.060). 100K+ <a href='/pages/quote'>request a quote</a>.</p><p><small><strong>WARNING:</strong> This product can expose you to chemicals including styrene, which is known to the State of California to cause cancer. For more information go to www.P65Warnings.ca.gov.</small></p>",The Pack Guys,Pre-Roll Tube,"wholesale,116mm,white,cr-certified,in-stock-la",TRUE,Quantity,1000,TUBE-116-WHT-1K,3500,shopify,1000,deny,manual,85.00,,TRUE,TRUE,,,116mm CR pop-top pre-roll tube in white,FALSE,116mm CR Pre-Roll Tubes — White Wholesale Case | The Pack Guys,Buy 116mm child-resistant pre-roll tubes in white. Ships same-day from LA. From $0.085/unit on 1K cases.,,,,,,,new,,,,50.00,active
116mm-cr-tube-white,,,,,,,Quantity,5000,TUBE-116-WHT-5K,17500,shopify,200,deny,manual,375.00,,TRUE,TRUE,,,,,,,,,,,,,new,,,,250.00,active
